,MIC,kmer_predict_result,snp_predict_result
SRR5385429,1.0,1.0,1.0
SRR5385434,8.0,8.0,8.0
SRR5385437,8.0,8.0,8.0
SRR5385453,1.0,1.0,1.0
SRR5385462,8.0,8.0,8.0
SRR5385529,8.0,8.0,8.0
SRR5385632,1.0,1.0,1.0
SRR5385659,16.0,16.0,16.0
SRR5385680,1.0,1.0,1.0
SRR5385696,8.0,8.0,8.0
SRR5385697,1.0,1.0,1.0
SRR5385715,1.0,1.0,1.0
SRR5385716,8.0,8.0,8.0
SRR5385726,2.0,2.0,2.0
SRR5385747,16.0,16.0,16.0
SRR5385750,1.0,1.0,1.0
SRR5385760,1.0,1.0,1.0
SRR5385795,1.0,1.0,1.0
SRR5385829,1.0,1.0,1.0
SRR5385848,16.0,16.0,16.0
SRR5385867,1.0,1.0,1.0
SRR5385891,2.0,1.0,16.0
SRR5385917,16.0,16.0,16.0
SRR5385927,1.0,1.0,1.0
SRR5385951,16.0,16.0,1.0
SRR5385966,1.0,1.0,1.0
SRR5385982,2.0,2.0,2.0
SRR5385983,1.0,1.0,1.0
SRR5385996,1.0,1.0,1.0
SRR5386027,1.0,1.0,1.0
SRR5386035,8.0,8.0,8.0
SRR5386041,1.0,1.0,1.0
SRR5386052,1.0,1.0,1.0
SRR5386086,1.0,1.0,1.0
SRR5386091,1.0,1.0,1.0
SRR5386104,1.0,1.0,1.0
SRR5386120,2.0,1.0,1.0
SRR5386141,1.0,1.0,1.0
SRR5386164,1.0,1.0,1.0
SRR5386165,2.0,2.0,8.0
SRR5386174,8.0,8.0,8.0
SRR5386182,1.0,1.0,1.0
SRR5386185,8.0,8.0,8.0
SRR5386199,1.0,1.0,1.0
SRR5386205,8.0,8.0,8.0
SRR5386212,1.0,1.0,1.0
SRR5386226,1.0,1.0,1.0
SRR5386240,1.0,1.0,1.0
SRR5386243,8.0,8.0,8.0
SRR5386251,16.0,16.0,8.0
SRR5386262,1.0,1.0,1.0
SRR5386272,8.0,8.0,8.0
SRR5386275,1.0,1.0,1.0
SRR5386286,8.0,8.0,8.0
SRR5386287,8.0,8.0,8.0
SRR5386289,8.0,8.0,8.0
SRR5386291,1.0,1.0,1.0
SRR5386295,1.0,1.0,1.0
SRR5386300,8.0,8.0,8.0
SRR5386306,1.0,1.0,1.0
SRR5386324,1.0,1.0,1.0
SRR5386336,1.0,1.0,1.0
SRR5386354,8.0,8.0,8.0
SRR5386355,1.0,1.0,1.0
SRR5386369,8.0,8.0,8.0
SRR5386370,1.0,1.0,1.0
SRR5386388,1.0,1.0,1.0
SRR5386405,1.0,1.0,1.0
SRR5386417,1.0,1.0,1.0
SRR5386421,8.0,8.0,8.0
SRR5386432,1.0,1.0,1.0
SRR5386449,1.0,1.0,1.0
SRR5386469,1.0,1.0,1.0
SRR5386474,16.0,16.0,16.0
SRR5386495,1.0,1.0,1.0
SRR5386597,16.0,16.0,16.0
SRR5386635,1.0,1.0,1.0
SRR5386644,1.0,1.0,1.0
SRR5386648,1.0,1.0,1.0
SRR5386673,1.0,1.0,1.0
SRR5386677,8.0,8.0,8.0
SRR5386697,1.0,1.0,1.0
SRR5386721,8.0,8.0,8.0
SRR5386722,1.0,1.0,1.0
SRR5386753,1.0,1.0,1.0
SRR5386775,4.0,2.0,8.0
SRR5386777,1.0,1.0,1.0
SRR5386794,1.0,1.0,1.0
SRR5386812,1.0,1.0,1.0
SRR5386840,1.0,1.0,1.0
SRR5386847,1.0,1.0,1.0
SRR5386853,1.0,1.0,1.0
SRR5386953,1.0,1.0,1.0
SRR5386954,8.0,8.0,8.0
SRR5386974,1.0,1.0,1.0
SRR5386998,1.0,1.0,1.0
SRR5387157,8.0,8.0,8.0
SRR5387192,16.0,16.0,16.0
SRR5387229,4.0,16.0,1.0
SRR5387255,8.0,8.0,8.0
SRR5387285,0.5,1.0,2.0
SRR5387288,0.25,1.0,2.0
SRR5387301,1.0,1.0,1.0
SRR5387305,16.0,16.0,16.0
SRR5387357,1.0,1.0,1.0
SRR5387360,16.0,16.0,1.0
SRR5387372,1.0,1.0,1.0
SRR5387386,1.0,1.0,1.0
SRR5387399,1.0,1.0,1.0
SRR5387426,1.0,1.0,1.0
